id	name	price	cost	Y	Yalternate	X1	X2	X3	X4	X5	type	D6	D7	D8	D9	D10	drive	D11	D12
38	Suzuki Aerio LX 4dr	14500	14317	25	31	2.676	1.55	2.3	4	.98	sedan	0	0	0	0	0	fwd	0	0
39	Suzuki Forenza S 4dr	12269	12116	24	31	2.701	1.19	2	4	1.02	sedan	0	0	0	0	0	fwd	0	0
40	Suzuki Forenza EX 4dr	15568	15378	22	30	2.756	1.19	2	4	1.02	sedan	0	0	0	0	0	fwd	0	0
41	Toyota Corolla CE 4dr	14085	13065	32	40	2.502	1.3	1.8	4	1.02	sedan	0	0	0	0	0	fwd	0	0
42	Toyota Corolla S 4dr	15030	13650	32	40	2.524	1.3	1.8	4	1.02	sedan	0	0	0	0	0	fwd	0	0
43	Toyota Corolla LE 4dr	15295	13889	32	40	2.524	1.3	1.8	4	1.02	sedan	0	0	0	0	0	fwd	0	0
44	Toyota Echo 2dr manual	10760	10144	35	43	2.035	1.08	1.5	4	.93	sedan	0	0	0	0	0	fwd	0	0
45	Toyota Echo 2dr auto	11560	10896	33	39	2.085	1.08	1.5	4	.93	sedan	0	0	0	0	0	fwd	0	0
46	Toyota Echo 4dr	11290	10642	35	43	2.055	1.08	1.5	4	.93	sedan	0	0	0	0	0	fwd	0	0
47	Buick Century Custom 4dr	22180	20351	20	30	3.353	1.75	3.1	6	1.09	sedan	0	0	0	0	0	fwd	0	0
48	Chevrolet Impala 4dr	21900	20095	21	32	3.465	1.8	3.4	6	1.11	sedan	0	0	0	0	0	fwd	0	0
49	Chevrolet Malibu 4dr	18995	17434	24	34	3.174	1.45	2.2	4	1.06	sedan	0	0	0	0	0	fwd	0	0
50	Chevrolet Malibu LS 4dr	20370	18639	22	30	3.297	2	3.5	6	1.06	sedan	0	0	0	0	0	fwd	0	0
51	Chevrolet Monte Carlo LS 2dr	21825	20026	21	32	3.34	1.8	3.4	6	1.11	sedan	0	0	0	0	0	fwd	0	0
52	Chrysler PT Cruiser 4dr	17985	16919	22	29	3.101	1.5	2.4	4	1.03	sedan	0	0	0	0	0	fwd	0	0
53	Chrysler PT Cruiser Limited 4dr	22000	20573	22	29	3.105	1.5	2.4	4	1.03	sedan	0	0	0	0	0	fwd	0	0
54	Chrysler Sebring 4dr	19090	17805	22	30	3.173	1.5	2.4	4	1.08	sedan	0	0	0	0	0	fwd	0	0
55	Chrysler Sebring Touring 4dr	21840	20284	21	28	3.222	2	2.7	6	1.08	sedan	0	0	0	0	0	fwd	0	0
56	Dodge Intrepid SE 4dr	22035	20502	21	29	3.469	2	2.7	6	1.13	sedan	0	0	0	0	0	fwd	0	0
57	Dodge Stratus SXT 4dr	18820	17512	21	28	3.182	1.5	2.4	4	1.08	sedan	0	0	0	0	0	fwd	0	0
58	Dodge Stratus SE 4dr	20220	18821	21	28	3.175	1.5	2.4	4	1.08	sedan	0	0	0	0	0	fwd	0	0
59	Ford Focus SVT 2dr	19135	17878	21	28	2.75	1.7	2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
60	Ford Taurus LX 4dr	20320	18881	20	27	3.306	1.55	3	6	1.09	sedan	0	0	0	0	0	fwd	0	0
61	Ford Taurus SES Duratec 4dr	22735	20857	19	26	3.313	2.01	3	6	1.09	sedan	0	0	0	0	0	fwd	0	0
62	Honda Accord LX 2dr	19860	17924	26	34	2.994	1.6	2.4	4	1.05	sedan	0	0	0	0	0	fwd	0	0
63	Honda Accord EX 2dr	22260	20080	26	34	3.047	1.6	2.4	4	1.05	sedan	0	0	0	0	0	fwd	0	0
64	Honda Civic EX 4dr	17750	16265	32	37	2.601	1.27	1.7	4	1.03	sedan	0	0	0	0	0	fwd	0	0
65	Honda Civic Si 2dr hatch	19490	17849	26	30	2.782	1.6	2	4	1.01	sedan	0	0	0	0	0	fwd	0	0
66	Hyundai Sonata GLS 4dr	19339	17574	19	27	3.217	1.7	2.7	6	1.06	sedan	0	0	0	0	0	fwd	0	0
67	Hyundai Sonata LX 4dr	20339	18380	19	27	3.217	1.7	2.7	6	1.06	sedan	0	0	0	0	0	fwd	0	0
68	Kia Optima LX V6 4dr	18435	16850	20	27	3.279	1.7	2.7	6	1.06	sedan	0	0	0	0	0	fwd	0	0
69	Mazda 6i 4dr	19270	17817	24	32	3.042	1.6	2.3	4	1.05	sedan	0	0	0	0	0	fwd	0	0
70	Mercury Sable GS 4dr	21595	19848	20	27	3.308	1.55	3	6	1.09	sedan	0	0	0	0	0	fwd	0	0
71	Mini Cooper S	19999	18137	25	34	2.678	1.63	1.6	4	.97	sedan	0	0	0	0	0	fwd	0	0
72	Nissan Altima S 4dr	19240	18030	21	26	3.039	1.75	2.5	4	1.1	sedan	0	0	0	0	0	fwd	0	0
73	Nissan Sentra SE-R 4dr	17640	16444	23	28	2.761	1.65	2.5	4	1	sedan	0	0	0	0	0	fwd	0	0
74	Oldsmobile Alero GX 2dr	18825	17642	24	32	2.946	1.4	2.2	4	1.07	sedan	0	0	0	0	0	fwd	0	0
75	Pontiac Grand Am GT 2dr	22450	20595	20	29	3.118	1.75	3.4	6	1.07	sedan	0	0	0	0	0	fwd	0	0
76	Pontiac Grand Prix GT1 4dr	22395	20545	20	30	3.477	2	3.8	6	1.11	sedan	0	0	0	0	0	fwd	0	0
77	Pontiac Sunfire 1SC 2dr	17735	16369	24	33	2.771	1.4	2.2	4	1.04	sedan	0	0	0	0	0	fwd	0	0
78	Saturn L300-2 4dr	21410	19801	20	28	3.197	1.82	3	6	1.07	sedan	0	0	0	0	0	fwd	0	0
79	Subaru Impreza 2.5 RS 4dr	19945	18399	22	28	2.965	1.65	2.5	4	.99	sedan	0	0	0	0	0	awd	1	0
80	Subaru Legacy L 4dr	20445	18713	21	28	3.285	1.65	2.5	4	1.04	sedan	0	0	0	0	0	awd	1	0
81	Suzuki Verona LX 4dr	17262	17053	20	27	3.38	1.55	2.5	6	1.06	sedan	0	0	0	0	0	fwd	0	0
82	Toyota Camry LE 4dr	19560	17558	24	33	3.086	1.57	2.4	4	1.07	sedan	0	0	0	0	0	fwd	0	0
83	Toyota Camry LE V6 4dr	22775	20325	21	29	3.296	2.1	3	6	1.07	sedan	0	0	0	0	0	fwd	0	0
84	Toyota Camry Solara SE 2dr	19635	17722	24	33	3.175	1.57	2.4	4	1.07	sedan	0	0	0	0	0	fwd	0	0
85	Toyota Camry Solara SE V6 2dr	21965	19819	20	29	3.417	2.25	3.3	6	1.07	sedan	0	0	0	0	0	fwd	0	0
86	Volkswagen Golf GLS 4dr	18715	17478	24	31	2.897	1.15	2	4	.99	sedan	0	0	0	0	0	fwd	0	0
87	Volkswagen GTI 1.8T 2dr hatch	19825	18109	24	31	2.934	1.8	1.8	4	.99	sedan	0	0	0	0	0	fwd	0	0
88	Volkswagen Jetta GLS TDI 4dr	21055	19638	38	46	3.003	1	1.9	4	.99	sedan	0	0	0	0	0	fwd	0	0
89	Volkswagen New Beetle GLS 1.8T 2dr	21055	19638	24	31	2.82	1.5	1.8	4	.99	sedan	0	0	0	0	0	fwd	0	0
90	Acura RSX Type S 2dr	23820	21761	24	31	2.778	2	2	4	1.01	sedan	0	0	0	0	0	fwd	0	0
91	Acura TSX 4dr	26990	24647	22	29	3.23	2	2.4	4	1.05	sedan	0	0	0	0	0	fwd	0	0
92	Audi A4 1.8T 4dr	25940	23508	22	31	3.252	1.7	1.8	4	1.04	sedan	0	0	0	0	0	fwd	0	0
93	BMW 325i 4dr	28495	26155	20	29	3.219	1.84	2.5	6	1.07	sedan	0	0	0	0	0	rwd	0	1
94	Buick LeSabre Custom 4dr	26470	24282	20	29	3.567	2.05	3.8	6	1.12	sedan	0	0	0	0	0	fwd	0	0
95	Buick Regal LS 4dr	24895	22835	20	30	3.461	2	3.8	6	1.09	sedan	0	0	0	0	0	fwd	0	0
96	Buick Regal GS 4dr	28345	26047	18	28	3.536	2.4	3.8	6	1.09	sedan	0	0	0	0	0	fwd	0	0
97	Chevrolet Impala LS 4dr	25000	22931	20	30	3.476	2	3.8	6	1.11	sedan	0	0	0	0	0	fwd	0	0
98	Chevrolet Impala SS 4dr	27995	25672	18	28	3.606	2.4	3.8	6	1.11	sedan	0	0	0	0	0	fwd	0	0
99	Chevrolet Malibu LT 4dr	23495	21551	23	32	3.315	2	3.5	6	1.06	sedan	0	0	0	0	0	fwd	0	0
100	Chevrolet Monte Carlo SS 2dr	24225	22222	18	28	3.434	2	3.8	6	1.11	sedan	0	0	0	0	0	fwd	0	0
101	Chrysler 300M 4dr	29865	27797	18	27	3.581	2.5	3.5	6	1.13	sedan	0	0	0	0	0	fwd	0	0
102	Chrysler Concorde LX 4dr	24130	22452	21	29	3.479	2	2.7	6	1.13	sedan	0	0	0	0	0	fwd	0	0
103	Chrysler Concorde LXi 4dr	26860	24909	19	27	3.548	2.32	3.5	6	1.13	sedan	0	0	0	0	0	fwd	0	0
104	Chrysler PT Cruiser GT 4dr	25955	24172	21	27	3.217	2.2	2.4	4	1.03	sedan	0	0	0	0	0	fwd	0	0
105	Chrysler Sebring convertible 2dr	25215	23451	22	30	3.357	1.5	2.4	4	1.06	sedan	0	0	0	0	0	fwd	0	0
106	Dodge Intrepid ES 4dr	24885	23058	18	27	3.487	2.32	3.5	6	1.13	sedan	0	0	0	0	0	fwd	0	0
107	Ford Crown Victoria 4dr	24345	22856	17	25	4.057	2.24	4.6	8	1.15	sedan	0	0	0	0	0	rwd	0	1
108	Ford Crown Victoria LX 4dr	27370	25105	17	25	4.057	2.24	4.6	8	1.15	sedan	0	0	0	0	0	rwd	0	1
109	Honda Accord LX V6 4dr	23760	21428	21	30	3.349	2.4	3	6	1.08	sedan	0	0	0	0	0	fwd	0	0
110	Honda Accord EX V6 2dr	26960	24304	21	30	3.294	2.4	3	6	1.05	sedan	0	0	0	0	0	fwd	0	0
111	Hyundai XG350 4dr	24589	22055	17	26	3.651	1.94	3.5	6	1.08	sedan	0	0	0	0	0	fwd	0	0
112	Hyundai XG350 L 4dr	26189	23486	17	26	3.651	1.94	3.5	6	1.08	sedan	0	0	0	0	0	fwd	0	0
113	Infiniti G35 4dr	28495	26157	18	26	3.336	2.6	3.5	6	1.12	sedan	0	0	0	0	0	rwd	0	1
114	Infiniti G35 Sport Coupe 2dr	29795	27536	18	26	3.416	2.8	3.5	6	1.12	sedan	0	0	0	0	0	rwd	0	1
115	Jaguar X-Type 2.5 4dr	29995	27355	18	26	3.428	1.92	2.5	6	1.07	sedan	0	0	0	0	0	awd	1	0
116	Mercedes-Benz C230 Sport 2dr	26060	24249	22	30	3.25	1.89	1.8	4	1.07	sedan	0	0	0	0	0	rwd	0	1
117	Mercedes-Benz C320 Sport 2dr	28370	26435	19	26	3.43	2.15	3.2	6	1.07	sedan	0	0	0	0	0	rwd	0	1
118	Mercury Grand Marquis GS 4dr	24695	23217	17	25	4.052	2.24	4.6	8	1.15	sedan	0	0	0	0	0	rwd	0	1
119	Mercury Grand Marquis LS Premium 4dr	29595	27148	17	25	4.052	2.24	4.6	8	1.15	sedan	0	0	0	0	0	rwd	0	1
120	Mercury Sable LS Premium 4dr	23895	21918	19	26	3.315	2.01	3	6	1.09	sedan	0	0	0	0	0	fwd	0	0
121	Mitsubishi Diamante LS 4dr	29282	27250	18	25	3.549	2.05	3.5	6	1.07	sedan	0	0	0	0	0	fwd	0	0
122	Mitsubishi Galant GTS 4dr	25700	23883	18	26	3.649	2.3	3.8	6	1.08	sedan	0	0	0	0	0	fwd	0	0
123	Nissan Altima SE 4dr	23290	21580	21	26	3.197	2.45	3.5	6	1.1	sedan	0	0	0	0	0	fwd	0	0
124	Nissan Maxima SE 4dr	27490	25182	20	28	3.473	2.65	3.5	6	1.11	sedan	0	0	0	0	0	fwd	0	0
125	Nissan Maxima SL 4dr	29440	26966	20	28	3.476	2.65	3.5	6	1.11	sedan	0	0	0	0	0	fwd	0	0
126	Oldsmobile Alero GLS 2dr	23675	21485	20	29	3.085	1.7	3.4	6	1.07	sedan	0	0	0	0	0	fwd	0	0
127	Pontiac Grand Prix GT2 4dr	24295	22284	20	30	3.484	2	3.8	6	1.11	sedan	0	0	0	0	0	fwd	0	0
128	Subaru Legacy GT 4dr	25645	23336	21	28	3.395	1.65	2.5	4	1.04	sedan	0	0	0	0	0	awd	1	0
129	Subaru Outback Limited Sedan 4dr	27145	24687	20	27	3.495	1.65	2.5	4	1.04	sedan	0	0	0	0	0	awd	1	0
130	Subaru Outback H6 4dr	29345	26660	19	26	3.61	2.12	3	6	1.04	sedan	0	0	0	0	0	awd	1	0
131	Toyota Avalon XL 4dr	26560	23693	21	29	3.417	2.1	3	6	1.07	sedan	0	0	0	0	0	fwd	0	0
132	Toyota Camry XLE V6 4dr	25920	23125	21	29	3.362	2.1	3	6	1.07	sedan	0	0	0	0	0	fwd	0	0
133	Toyota Camry Solara SLE V6 2dr	26510	23908	20	29	3.439	2.25	3.3	6	1.07	sedan	0	0	0	0	0	fwd	0	0
134	Volkswagen Jetta GLI VR6 4dr	23785	21686	21	30	3.179	2	2.8	6	.99	sedan	0	0	0	0	0	fwd	0	0
135	Volkswagen New Beetle GLS convertible 2dr	23215	21689	24	30	3.082	1.15	2	4	.99	sedan	0	0	0	0	0	fwd	0	0
136	Volkswagen Passat GLS 4dr	23955	21898	22	31	3.241	1.7	1.8	4	1.06	sedan	0	0	0	0	0	fwd	0	0
137	Volvo S40 4dr	25135	23701	22	29	2.767	1.7	1.9	4	1.01	sedan	0	0	0	0	0	fwd	0	0
138	Acura TL 4dr	33195	30299	20	28	3.575	2.7	3.2	6	1.08	sedan	0	0	0	0	0	fwd	0	0
139	Audi A4 1.8T convertible 2dr	35940	32506	23	30	3.638	1.7	1.8	4	1.05	sedan	0	0	0	0	0	fwd	0	0
140	Audi A4 3.0 4dr	31840	28846	20	28	3.462	2.2	3	6	1.04	sedan	0	0	0	0	0	fwd	0	0
141	Audi A4 3.0 Quattro 4dr manual	33430	30366	17	26	3.583	2.2	3	6	1.04	sedan	0	0	0	0	0	awd	1	0
142	Audi A4 3.0 Quattro 4dr auto	34480	31388	18	25	3.627	2.2	3	6	1.04	sedan	0	0	0	0	0	awd	1	0
143	Audi A6 3.0 4dr	36640	33129	20	27	3.561	2.2	3	6	1.09	sedan	0	0	0	0	0	fwd	0	0
144	Audi A6 3.0 Quattro 4dr	39640	35992	18	25	3.88	2.2	3	6	1.09	sedan	0	0	0	0	0	awd	1	0
145	BMW 325Ci 2dr	30795	28245	20	29	3.197	1.84	2.5	6	1.07	sedan	0	0	0	0	0	rwd	0	1
146	BMW 325Ci convertible 2dr	37995	34800	19	27	3.56	1.84	2.5	6	1.07	sedan	0	0	0	0	0	rwd	0	1
147	BMW 325xi 4dr	30245	27745	19	27	3.461	1.84	2.5	6	1.07	sedan	0	0	0	0	0	awd	1	0
148	BMW 330i 4dr	35495	32525	20	30	3.285	2.25	3	6	1.07	sedan	0	0	0	0	0	rwd	0	1
149	BMW 330Ci 2dr	36995	33890	20	30	3.285	2.25	3	6	1.07	sedan	0	0	0	0	0	rwd	0	1
150	BMW 330xi 4dr	37245	34115	20	29	3.483	2.25	3	6	1.07	sedan	0	0	0	0	0	awd	1	0
151	BMW 525i 4dr	39995	36620	19	28	3.428	1.84	2.5	6	1.14	sedan	0	0	0	0	0	rwd	0	1
152	Buick LeSabre Limited 4dr	32245	29566	20	29	3.591	2.05	3.8	6	1.12	sedan	0	0	0	0	0	fwd	0	0
153	Buick Park Avenue 4dr	35545	32244	20	29	3.778	2.05	3.8	6	1.14	sedan	0	0	0	0	0	fwd	0	0
154	Cadillac CTS VVT 4dr	30835	28575	18	25	3.694	2.55	3.6	6	1.13	sedan	0	0	0	0	0	rwd	0	1
155	Chrysler 300M Special Edition 4dr	33295	30884	18	27	3.65	2.55	3.5	6	1.13	sedan	0	0	0	0	0	fwd	0	0
156	Chrysler Sebring Limited convertible 2dr	30950	28613	21	28	3.448	2	2.7	6	1.06	sedan	0	0	0	0	0	fwd	0	0
157	Ford Crown Victoria LX Sport 4dr	30315	27756	17	25	4.057	2.39	4.6	8	1.15	sedan	0	0	0	0	0	rwd	0	1
158	Infiniti G35 4dr	32445	29783	18	26	3.677	2.6	3.5	6	1.12	sedan	0	0	0	0	0	awd	1	0
159	Infiniti I35 4dr	31145	28320	19	26	3.306	2.55	3.5	6	1.08	sedan	0	0	0	0	0	fwd	0	0
160	Jaguar X-Type 3.0 4dr	33995	30995	18	25	3.516	2.27	3	6	1.07	sedan	0	0	0	0	0	awd	1	0
161	Lexus ES 330 4dr	32350	28755	20	29	3.46	2.25	3.3	6	1.07	sedan	0	0	0	0	0	fwd	0	0
162	Lexus IS 300 4dr manual	31045	27404	18	25	3.255	2.15	3	6	1.05	sedan	0	0	0	0	0	rwd	0	1
163	Lexus IS 300 4dr auto	32415	28611	18	24	3.285	2.15	3	6	1.05	sedan	0	0	0	0	0	rwd	0	1
164	Lincoln LS V6 Luxury 4dr	32495	29969	20	26	3.681	2.32	3	6	1.15	sedan	0	0	0	0	0	rwd	0	1
165	Lincoln LS V6 Premium 4dr	36895	33929	20	26	3.681	2.32	3	6	1.15	sedan	0	0	0	0	0	rwd	0	1
166	Mercedes-Benz C240 4dr	32280	30071	20	25	3.36	1.68	2.6	6	1.07	sedan	0	0	0	0	0	rwd	0	1
167	Mercedes-Benz C240 4dr	33480	31187	19	25	3.36	1.68	2.6	6	1.07	sedan	0	0	0	0	0	awd	1	0
168	Mercedes-Benz C320 Sport 4dr	35920	33456	19	26	3.43	2.15	3.2	6	1.07	sedan	0	0	0	0	0	rwd	0	1
169	Mercedes-Benz C320 4dr	37630	35046	20	26	3.45	2.15	3.2	6	1.07	sedan	0	0	0	0	0	rwd	0	1
170	Mercury Grand Marquis LS Ultimate 4dr	30895	28318	17	25	4.052	2.24	4.6	8	1.15	sedan	0	0	0	0	0	rwd	0	1
171	Mercury Marauder 4dr	34495	31558	17	23	4.195	3.02	4.6	8	1.15	sedan	0	0	0	0	0	rwd	0	1
172	Saab 9-3 Arc Sport 4dr	30860	29269	20	28	3.175	2.1	2	4	1.05	sedan	0	0	0	0	0	fwd	0	0
173	Saab 9-3 Aero 4dr	33360	31562	20	28	3.175	2.1	2	4	1.05	sedan	0	0	0	0	0	fwd	0	0
174	Saab 9-5 Arc 4dr	35105	33011	21	29	3.47	2.2	2.3	4	1.06	sedan	0	0	0	0	0	fwd	0	0
175	Saab 9-5 Aero 4dr	39465	37721	21	29	3.47	2.5	2.3	4	1.06	sedan	0	0	0	0	0	fwd	0	0
176	Subaru Outback H-6 VDC 4dr	31545	28603	19	26	3.63	2.12	3	6	1.04	sedan	0	0	0	0	0	awd	1	0
177	Toyota Avalon XLS 4dr	30920	27271	21	29	3.439	2.1	3	6	1.07	sedan	0	0	0	0	0	fwd	0	0
178	Volkswagen Passat GLX V6 4MOTION 4dr	33180	30583	19	26	3.721	1.9	2.8	6	1.06	sedan	0	0	0	0	0	fwd	0	0
179	Volkswagen Passat W8 4MOTION 4dr	39235	36052	18	25	3.953	2.7	4	8	1.06	sedan	0	0	0	0	0	fwd	0	0
180	Volvo S60 2.5 4dr	31745	29916	20	27	3.903	2.08	2.5	5	1.07	sedan	0	0	0	0	0	awd	1	0
181	Volvo S60 T5 4dr	34845	32902	20	28	3.766	2.47	2.3	5	1.07	sedan	0	0	0	0	0	fwd	0	0
182	Volvo S60 R 4dr	37560	35382	18	25	3.571	3	2.5	5	1.07	sedan	0	0	0	0	0	awd	1	0
183	Volvo S80 2.9 4dr	37730	35542	20	28	3.576	2.08	2.9	6	1.1	sedan	0	0	0	0	0	fwd	0	0
184	Volvo S80 2.5T 4dr	37885	35688	20	27	3.691	1.94	2.5	5	1.1	sedan	0	0	0	0	0	awd	1	0
185	Acura 3.5 RL 4dr	43755	39014	18	24	3.88	2.25	3.5	6	1.15	sedan	0	0	0	0	0	fwd	0	0
186	Acura 3.5 RL w/Navigation 4dr	46100	41100	18	24	3.893	2.25	3.5	6	1.15	sedan	0	0	0	0	0	fwd	0	0
187	Audi A4 3.0 convertible 2dr	42490	38325	20	27	3.814	2.2	3	6	1.05	sedan	0	0	0	0	0	fwd	0	0
188	Audi A4 3.0 Quattro convertible 2dr	44240	40075	18	25	4.013	2.2	3	6	1.05	sedan	0	0	0	0	0	awd	1	0
189	Audi A6 2.7 Turbo Quattro 4dr	42840	38840	18	25	3.836	2.5	2.7	6	1.09	sedan	0	0	0	0	0	awd	1	0
190	Audi A6 4.2 Quattro 4dr	49690	44936	17	24	4.024	3	4.2	8	1.09	sedan	0	0	0	0	0	awd	1	0
191	Audi A8 L Quattro 4dr	69190	64740	17	24	4.399	3.3	4.2	8	1.21	sedan	0	0	0	0	0	awd	1	0
192	Audi S4 Quattro 4dr	48040	43556	14	20	3.825	3.4	4.2	8	1.04	sedan	0	0	0	0	0	awd	1	0
193	BMW 330Ci convertible 2dr	44295	40530	19	28	3.616	2.25	3	6	1.07	sedan	0	0	0	0	0	rwd	0	1
194	BMW 530i 4dr	44995	41170	20	30	3.472	2.25	3	6	1.14	sedan	0	0	0	0	0	rwd	0	1
195	BMW 545iA 4dr	54995	50270	18	26	3.814	3.25	4.4	8	1.14	sedan	0	0	0	0	0	rwd	0	1
196	BMW 745i 4dr	69195	63190	18	26	4.376	3.25	4.4	8	1.18	sedan	0	0	0	0	0	rwd	0	1
197	BMW 745Li 4dr	73195	66830	18	26	4.464	3.25	4.4	8	1.23	sedan	0	0	0	0	0	rwd	0	1
198	Buick Park Avenue Ultra 4dr	40720	36927	18	28	3.909	2.4	3.8	6	1.14	sedan	0	0	0	0	0	fwd	0	0
199	Cadillac Deville 4dr	45445	41650	18	26	3.984	2.75	4.6	8	1.15	sedan	0	0	0	0	0	fwd	0	0
200	Cadillac Deville DTS 4dr	50595	46362	18	26	4.044	3	4.6	8	1.15	sedan	0	0	0	0	0	fwd	0	0
201	Cadillac Seville SLS 4dr	47955	43841	18	26	3.992	2.75	4.6	8	1.12	sedan	0	0	0	0	0	fwd	0	0
202	Infiniti M45 4dr	42845	38792	17	23	3.851	3.4	4.5	8	1.1	sedan	0	0	0	0	0	rwd	0	1
203	Infiniti Q45 Luxury 4dr	52545	47575	17	23	3.977	3.4	4.5	8	1.13	sedan	0	0	0	0	0	rwd	0	1
204	Jaguar S-Type 3.0 4dr	43895	40004	18	26	3.777	2.35	3	6	1.15	sedan	0	0	0	0	0	rwd	0	1
205	Jaguar S-Type 4.2 4dr	49995	45556	18	28	3.874	2.94	4.2	8	1.15	sedan	0	0	0	0	0	rwd	0	1
206	Jaguar S-Type R 4dr	63120	57499	17	24	4.046	3.9	4.2	8	1.15	sedan	0	0	0	0	0	rwd	0	1
207	Jaguar Vanden Plas 4dr	68995	62846	18	28	3.803	2.94	4.2	8	1.19	sedan	0	0	0	0	0	rwd	0	1
