Average Cost	Units	Precision SD	Weight Final	Weight Rem	Stamp Ops	Chisel Ops	Labor Hours	Machine Hours	Cost Metal/Kg	Room Temp	Breakdowns	recipUnits	Breakdown/Unit	Total Metal Cost	SqTempDev	Detail	Rush	Manager	Music	Shift	Plant
29.8	2000	0.1	0.335	1.7531	11	14	0.383	0.05	0.75	81	15	0.0005	0.0075	1.566075	36	DETAIL	NONE	PAT	NONE	DAY	OLD
24.52	140	0.5	0.375	1.3193	13	11	0.55	0.033	1.17	75.5	0	0.00714286	0	1.982331	0.25	NONE	RUSH	RANDY	NONE	DAY	OLD
32.42	280	1	0.33	1.1773	6	9	0.217	0.033	0.88	75	6	0.00357143	0.02142857	1.326424	0	NONE	RUSH	PAT	NONE	NIGHT	OLD
25.33	600	1	0.245	0.3218	16	9	0.333	0.033	3.49	64.5	2	0.00166667	0.00333333	1.978132	110.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
27.5	250	0.1	0.47	1.1865	8	7	0.35	0.017	1.09	74.5	1	0.004	0.004	1.805585	0.25	DETAIL	NONE	TERRY	POP	DAY	NEW
46.32	600	0.5	0.305	0.5862	14	10	0.35	0.017	4.56	74.5	0	0.00166667	0	4.063872	0.25	NONE	RUSH	TERRY	ROCK	DAY	NEW
40.69	190	0.1	0.35	0.9014	8	9	0.417	0.017	0.99	75	1	0.00526316	0.00526316	1.238886	0	DETAIL	NONE	JEAN	POP	DAY	NEW
51.04	120	0.1	0.36	1.3648	9	12	0.5	0.033	1.24	59.5	0	0.00833333	0	2.138752	240.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
40.13	200	0.1	0.385	1.2324	11	9	0.517	0.017	0.82	74.5	0	0.005	0	1.326268	0.25	DETAIL	NONE	TERRY	POP	DAY	NEW
40.09	600	0.1	0.295	0.4207	9	7	0.317	0.017	4.35	74	0	0.00166667	0	3.113295	1	DETAIL	NONE	TERRY	POP	DAY	NEW
24.55	2700	0.1	0.325	0.916	8	9	0.25	0.017	0.88	76.5	0	0.00037037	0	1.09208	2.25	DETAIL	NONE	JEAN	POP	DAY	NEW
40.85	1700	0.1	0.32	0.8557	13	12	0.317	0.017	5.58	73	3	0.00058824	0.00176471	6.560406	4	DETAIL	NONE	JEAN	NONE	DAY	NEW
48.08	250	0.1	0.385	1.2808	9	12	0.367	0.033	1.07	74.5	9	0.004	0.036	1.782406	0.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
45.45	300	0.5	0.345	1.6632	12	15	0.433	0.05	1.04	70	7	0.00333333	0.02333333	2.088528	25	DETAIL	NONE	PAT	NONE	DAY	OLD
46.32	130	0.5	0.46	1.3343	12	8	0.467	0.017	0.78	74.5	0	0.00769231	0	1.399554	0.25	NONE	RUSH	JEAN	NONE	DAY	NEW
49.55	170	0.1	0.31	0.8192	12	13	0.483	0.05	5.85	71.5	1	0.00588235	0.00588235	6.60582	12.25	DETAIL	NONE	LEE	NONE	DAY	OLD
40.28	190	0.1	0.315	0.3561	8	7	0.417	0.017	5.65	72	0	0.00526316	0	3.791715	9	DETAIL	NONE	PAT	NONE	DAY	OLD
24.55	210	0.5	0.37	1.8594	12	14	0.45	0.017	1.24	74.5	0	0.0047619	0	2.764456	0.25	NONE	RUSH	TERRY	ROCK	DAY	NEW
52.93	700	0.1	0.345	1.2698	12	12	0.483	0.033	1.13	68.5	8	0.00142857	0.01142857	1.824724	42.25	DETAIL	NONE	LEE	NONE	DAY	OLD
47.91	210	0.1	0.49	2.8819	17	19	0.55	0.067	0.57	83	1	0.0047619	0.0047619	1.921983	64	DETAIL	NONE	RANDY	NONE	DAY	OLD
38.02	200	0.5	0.365	1.279	8	11	0.283	0.017	0.9	75.5	0	0.005	0	1.4796	0.25	NONE	RUSH	TERRY	JAZZ	DAY	NEW
46.8	180	0.1	0.395	1.816	15	13	0.65	0.05	0.79	90.5	0	0.00555556	0	1.74669	240.25	DETAIL	NONE	PAT	NONE	DAY	OLD
35.46	150	0.5	0.47	1.127	7	8	0.45	0.033	0.98	73.5	0	0.00666667	0	1.56506	2.25	DETAIL	NONE	LEE	NONE	DAY	OLD
25.2	700	0.1	0.37	1.4692	13	14	0.367	0.05	0.76	72.5	6	0.00142857	0.00857143	1.397792	6.25	DETAIL	NONE	PAT	NONE	DAY	OLD
39.54	150	0.1	0.42	0.9096	6	7	0.417	0.017	0.87	75.5	0	0.00666667	0	1.156752	0.25	DETAIL	NONE	JEAN	ROCK	DAY	NEW
50.14	180	0.1	0.49	0.9171	7	7	0.5	0.017	0.63	74	1	0.00555556	0.00555556	0.886473	1	DETAIL	NONE	JEAN	JAZZ	DAY	NEW
33.81	300	0.5	0.27	0.7197	13	16	0.333	0.05	3.98	71	2	0.00333333	0.00666667	3.939006	16	NONE	RUSH	PAT	NONE	DAY	OLD
43.01	130	0.5	0.35	1.4691	10	12	0.5	0.033	0.87	67	2	0.00769231	0.01538462	1.582617	64	DETAIL	NONE	PAT	NONE	DAY	OLD
32.36	1200	1	0.295	0.3017	11	10	0.3	0.017	4.47	76	1	0.00083333	0.00083333	2.667249	1	NONE	RUSH	JEAN	POP	NIGHT	NEW
39.36	120	0.5	0.41	0.6904	7	5	0.55	0.017	0.82	73	0	0.00833333	0	0.902328	4	DETAIL	NONE	LEE	NONE	DAY	OLD
56.22	100	0.5	0.33	0.8141	17	17	0.617	0.05	5.3	72	1	0.01	0.01	6.06373	9	NONE	RUSH	PAT	NONE	DAY	OLD
36.47	120	1	0.37	2.1811	16	18	0.533	0.067	0.79	69.5	0	0.00833333	0	2.015369	30.25	NONE	NONE	RANDY	NONE	DAY	OLD
31.62	150	0.5	0.44	1.047	8	10	0.35	0.033	0.86	77.5	2	0.00666667	0.01333333	1.27882	6.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
38.15	190	0.1	0.43	2.3943	14	16	0.567	0.05	1.34	61.5	0	0.00526316	0	3.784562	182.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
40.66	150	0.5	0.44	2.064	13	17	0.467	0.033	1.31	74.5	0	0.00666667	0	3.28024	0.25	NONE	RUSH	JEAN	JAZZ	NIGHT	NEW
29.77	1200	1	0.355	1.0226	11	9	0.283	0.033	0.76	77.5	12	0.00083333	0.01	1.046976	6.25	NONE	RUSH	RANDY	NONE	DAY	OLD
38	150	0.5	0.29	0.3607	9	7	0.35	0.017	3.29	83	1	0.00666667	0.00666667	2.140803	64	NONE	RUSH	LEE	NONE	DAY	OLD
40.86	300	0.5	0.3	0.6828	6	8	0.283	0.017	1.77	77	0	0.00333333	0	1.739556	4	DETAIL	NONE	TERRY	NONE	DAY	NEW
35.43	300	0.5	0.45	1.7839	16	15	0.383	0.033	0.85	74.5	0	0.00333333	0	1.898815	0.25	NONE	NONE	JEAN	POP	DAY	NEW
32.86	400	0.5	0.335	1.0539	11	9	0.35	0.033	1.54	75.5	6	0.0025	0.015	2.138906	0.25	NONE	RUSH	RANDY	NONE	DAY	OLD
36.27	150	0.5	0.35	1.4629	8	11	0.433	0.017	0.62	76.5	0	0.00666667	0	1.123998	2.25	DETAIL	NONE	TERRY	JAZZ	DAY	NEW
31.09	800	0.1	0.48	1.9309	10	10	0.3	0.033	0.93	74	8	0.00125	0.01	2.242137	1	DETAIL	NONE	LEE	NONE	DAY	OLD
64.52	230	0.1	0.29	0.4574	13	10	0.45	0.033	6.89	80.5	5	0.00434783	0.02173913	5.149586	30.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
44.25	110	1	0.375	0.7153	8	4	0.433	0.017	0.94	77	0	0.00909091	0	1.024882	4	NONE	RUSH	LEE	NONE	DAY	OLD
49.66	150	0.1	0.38	1.0702	8	9	0.517	0.017	1.43	74.5	1	0.00666667	0.00666667	2.073786	0.25	DETAIL	NONE	TERRY	ROCK	DAY	NEW
26.71	180	0.5	0.315	0.877	8	9	0.383	0.033	1.2	88	1	0.00555556	0.00555556	1.4304	169	NONE	RUSH	RANDY	NONE	DAY	OLD
40.37	400	0.1	0.325	0.9299	11	13	0.383	0.05	1.02	66.5	4	0.0025	0.01	1.279998	72.25	DETAIL	NONE	PAT	NONE	DAY	OLD
33.83	130	0.5	0.53	1.4935	11	12	0.417	0.033	1.25	79	0	0.00769231	0	2.529375	16	NONE	RUSH	LEE	NONE	NIGHT	OLD
57.42	120	1	0.325	0.4975	12	9	0.567	0.017	5.32	74.5	0	0.00833333	0	4.3757	0.25	NONE	RUSH	JEAN	ROCK	NIGHT	NEW
37.34	1200	0.5	0.4	0.5639	11	7	0.267	0.033	6.84	69	15	0.00083333	0.0125	6.593076	36	NONE	RUSH	RANDY	NONE	DAY	OLD
47.18	110	0.1	0.47	2.0146	9	10	0.6	0.033	1.21	80.5	2	0.00909091	0.01818182	3.006366	30.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
61.16	220	0.5	0.36	0.6465	9	12	0.417	0.033	4.15	87	7	0.00454545	0.03181818	4.176975	144	NONE	RUSH	LEE	NONE	DAY	OLD
55.5	230	0.1	0.5	2.8041	12	15	0.433	0.05	1.09	75	5	0.00434783	0.02173913	3.601469	0	DETAIL	NONE	LEE	NONE	DAY	OLD
48.89	110	0.5	0.345	0.9406	8	10	0.5	0.017	1.27	74.5	0	0.00909091	0	1.632712	0.25	DETAIL	NONE	TERRY	POP	DAY	NEW
88.28	24	1	0.43	1.4629	10	10	1.533	0.033	1.04	68.5	0	0.04166667	0	1.968616	42.25	NONE	RUSH	RANDY	NONE	DAY	OLD
32.23	300	0.5	0.35	1.4184	7	11	0.3	0.017	0.6	74.5	0	0.00333333	0	1.06104	0.25	DETAIL	NONE	TERRY	POP	DAY	NEW
24.44	200	0.1	0.47	2.7536	10	14	0.483	0.05	0.77	74.5	1	0.005	0.005	2.482172	0.25	DETAIL	NONE	PAT	NONE	DAY	OLD
53.71	1000	1	0.33	0.4713	8	7	0.283	0.017	7.2	87.5	4	0.001	0.004	5.76936	156.25	NONE	NONE	RANDY	NONE	DAY	OLD
39.57	170	0.1	0.345	0.7012	9	8	0.467	0.033	1.1	64	0	0.00588235	0	1.15082	121	DETAIL	NONE	LEE	NONE	DAY	OLD
46.58	130	1	0.46	1.9399	12	14	0.45	0.05	0.66	84.5	3	0.00769231	0.02307692	1.583934	90.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
46.27	110	0.5	0.3	0.3255	13	9	0.567	0.017	4.78	75	1	0.00909091	0.00909091	2.98989	0	DETAIL	NONE	JEAN	NONE	DAY	NEW
27.84	190	0.5	0.38	1.0643	7	10	0.383	0.017	0.98	75	0	0.00526316	0	1.415414	0	DETAIL	RUSH	TERRY	JAZZ	DAY	NEW
37.03	600	0.5	0.41	1.2472	5	8	0.3	0.033	0.98	72.5	5	0.00166667	0.00833333	1.624056	6.25	DETAIL	NONE	PAT	NONE	DAY	OLD
20.95	500	0.5	0.375	0.8822	5	6	0.167	0.017	0.91	75.5	0	0.002	0	1.144052	0.25	NONE	RUSH	TERRY	ROCK	DAY	NEW
38.54	300	0.5	0.365	1.5305	11	13	0.383	0.017	1.24	75	0	0.00333333	0	2.35042	0	DETAIL	NONE	JEAN	POP	DAY	NEW
44.8	160	0.5	0.46	1.5683	8	9	0.333	0.017	0.62	76	1	0.00625	0.00625	1.257546	1	NONE	RUSH	TERRY	ROCK	DAY	NEW
53.91	190	0.5	0.41	1.0663	14	12	0.4	0.033	0.62	98	1	0.00526316	0.00526316	0.915306	529	NONE	NONE	RANDY	NONE	DAY	OLD
29.1	180	0.5	0.47	1.8392	10	11	0.35	0.033	1.07	76	0	0.00555556	0	2.470844	1	NONE	RUSH	LEE	NONE	NIGHT	OLD
40.41	170	0.5	0.47	1.7287	10	11	0.45	0.017	1.1	75	0	0.00588235	0	2.41857	0	DETAIL	NONE	JEAN	ROCK	DAY	NEW
53.65	300	0.1	0.335	1.8011	14	14	0.583	0.05	1.11	80.5	3	0.00333333	0.01	2.371071	30.25	DETAIL	NONE	PAT	NONE	DAY	OLD
28.89	270	0.1	0.23	0.2216	11	5	0.433	0.017	4.96	75.5	0	0.0037037	0	2.239936	0.25	DETAIL	NONE	JEAN	NONE	DAY	NEW
54.06	160	0.5	0.45	2.1017	15	16	0.483	0.05	0.63	87.5	2	0.00625	0.0125	1.607571	156.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
34.38	180	0.5	0.3	2.412	19	18	0.567	0.067	1.13	87	0	0.00555556	0	3.06456	144	DETAIL	NONE	PAT	NONE	DAY	OLD
39.24	150	0.5	0.47	1.3004	8	7	0.5	0.017	1.04	66	0	0.00666667	0	1.841216	81	DETAIL	NONE	LEE	NONE	DAY	OLD
35.33	400	0.1	0.34	1.8071	12	15	0.383	0.05	1.21	82	7	0.0025	0.0175	2.597991	49	DETAIL	NONE	RANDY	NONE	DAY	OLD
28.16	180	1	0.335	1.745	12	12	0.417	0.033	1.06	66.5	0	0.00555556	0	2.2048	72.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
33	1100	1	0.46	1.1754	9	9	0.233	0.017	1.38	75.5	0	0.00090909	0	2.256852	0.25	NONE	RUSH	JEAN	ROCK	NIGHT	NEW
38.13	400	1	0.355	1.2731	9	10	0.233	0.017	0.88	77	0	0.0025	0	1.432728	4	NONE	RUSH	JEAN	POP	NIGHT	NEW
42.41	180	0.1	0.29	0.2295	9	6	0.433	0.017	4.25	75	1	0.00555556	0.00555556	2.207875	0	DETAIL	RUSH	JEAN	ROCK	DAY	NEW
25.65	190	0.5	0.36	1.0617	12	11	0.383	0.017	1.14	75.5	0	0.00526316	0	1.620738	0.25	NONE	RUSH	TERRY	JAZZ	DAY	NEW
49.62	190	0.5	0.42	1.945	10	12	0.483	0.033	0.76	88	0	0.00526316	0	1.7974	169	DETAIL	NONE	LEE	NONE	DAY	OLD
44.12	400	0.1	0.295	0.6509	10	10	0.35	0.033	4.76	81.5	3	0.0025	0.0075	4.502484	42.25	DETAIL	NONE	PAT	NONE	DAY	OLD
36.16	500	0.5	0.335	1.246	9	11	0.233	0.017	1.01	75	2	0.002	0.004	1.59681	0	NONE	RUSH	JEAN	POP	DAY	NEW
49.07	210	0.5	0.44	1.2824	11	11	0.6	0.033	1.15	70.5	8	0.0047619	0.03809524	1.98076	20.25	NONE	RUSH	PAT	NONE	NIGHT	OLD
39.56	900	0.1	0.48	4.0024	15	16	0.383	0.05	1.06	81.5	2	0.00111111	0.00222222	4.751344	42.25	DETAIL	RUSH	PAT	NONE	NIGHT	OLD
32.89	800	0.5	0.24	0.2581	7	5	0.167	0.017	4.08	73.5	7	0.00125	0.00875	2.032248	2.25	NONE	RUSH	PAT	NONE	DAY	OLD
38.05	160	0.5	0.34	1.4408	9	9	0.433	0.033	0.86	77.5	0	0.00625	0	1.531488	6.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
48.35	120	0.5	0.31	1.3927	13	15	0.7	0.05	0.71	63	0	0.00833333	0	1.208917	144	NONE	RUSH	RANDY	NONE	DAY	OLD
26.2	500	0.1	0.4	0.8727	6	7	0.3	0.017	0.87	76	7	0.002	0.014	1.107249	1	DETAIL	NONE	PAT	NONE	DAY	OLD
41.82	190	0.1	0.335	0.3777	11	8	0.45	0.033	5.03	62	2	0.00526316	0.01052632	3.584881	169	DETAIL	NONE	PAT	NONE	DAY	OLD
47.21	130	0.1	0.46	3.0511	17	20	0.6	0.033	0.55	75.5	0	0.00769231	0	1.931105	0.25	DETAIL	NONE	JEAN	ROCK	DAY	NEW
38.36	250	0.1	0.4	1.3525	15	14	0.517	0.017	1.18	76	0	0.004	0	2.06795	1	DETAIL	NONE	TERRY	ROCK	DAY	NEW
53.59	110	0.1	0.48	1.6545	14	15	0.633	0.05	0.87	79	2	0.00909091	0.01818182	1.857015	16	DETAIL	NONE	RANDY	NONE	DAY	OLD
46.13	200	0.1	0.365	0.9568	6	9	0.35	0.017	1.15	74	2	0.005	0.01	1.52007	1	DETAIL	NONE	JEAN	ROCK	DAY	NEW
61.79	1700	1	0.37	1.2784	19	21	0.367	0.067	4.56	85	14	0.00058824	0.00823529	7.516704	100	NONE	RUSH	PAT	NONE	DAY	OLD
43.39	400	0.5	0.44	1.283	13	13	0.317	0.05	1.77	82	5	0.0025	0.0125	3.04971	49	NONE	RUSH	PAT	NONE	NIGHT	OLD
43.17	100	0.5	0.365	2.7977	15	22	0.65	0.033	1.31	74.5	0	0.01	0	4.143137	0.25	DETAIL	RUSH	JEAN	POP	DAY	NEW
24.27	1000	0.5	0.43	1.5955	10	11	0.2	0.033	1.13	62.5	8	0.001	0.008	2.288815	156.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
28.98	1600	0.1	0.36	1.189	10	12	0.3	0.033	1.76	73.5	16	0.000625	0.01	2.72624	2.25	DETAIL	NONE	PAT	NONE	DAY	OLD
47.76	180	0.5	0.42	2.013	10	17	0.35	0.033	0.59	75	0	0.00555556	0	1.43547	0	NONE	RUSH	JEAN	JAZZ	NIGHT	NEW
35.55	220	0.5	0.39	0.6059	12	11	0.367	0.033	3.39	78	6	0.00454545	0.02727273	3.376101	9	NONE	RUSH	LEE	NONE	DAY	OLD
48.43	110	0.1	0.42	1.3601	7	7	0.533	0.017	1.47	75	0	0.00909091	0	2.616747	0	DETAIL	NONE	JEAN	ROCK	DAY	NEW
46.33	110	0.1	0.325	1.0595	8	9	0.517	0.033	1.25	69	0	0.00909091	0	1.730625	36	DETAIL	NONE	RANDY	NONE	DAY	OLD
46.09	200	0.1	0.27	0.4271	13	8	0.533	0.033	3.85	80.5	1	0.005	0.005	2.683835	30.25	DETAIL	NONE	PAT	NONE	DAY	OLD
24.73	210	0.5	0.36	1.6011	12	14	0.367	0.05	1.13	77	4	0.0047619	0.01904762	2.216043	4	NONE	RUSH	PAT	NONE	DAY	OLD
39.49	110	0.1	0.34	0.6241	7	5	0.483	0.017	1	75	1	0.00909091	0.00909091	0.9641	0	DETAIL	NONE	JEAN	ROCK	DAY	NEW
48.9	210	1	0.325	1.2152	10	13	0.55	0.05	1.18	63.5	3	0.0047619	0.01428571	1.817436	132.25	NONE	RUSH	PAT	NONE	NIGHT	OLD
38.54	260	0.5	0.365	0.8901	6	7	0.383	0.017	0.77	67	6	0.00384615	0.02307692	0.966427	64	DETAIL	NONE	PAT	NONE	DAY	OLD
48.83	110	0.5	0.5	3.6012	14	18	0.517	0.033	0.98	74.5	0	0.00909091	0	4.019176	0.25	NONE	RUSH	TERRY	JAZZ	DAY	NEW
27.83	290	0.5	0.42	1.0449	6	8	0.3	0.033	0.85	82.5	3	0.00344828	0.01034483	1.245165	56.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
31.57	500	0.5	0.32	1.1492	8	11	0.2	0.033	1.46	84	8	0.002	0.016	2.145032	81	NONE	RUSH	PAT	NONE	NIGHT	OLD
49.53	110	0.1	0.335	0.6423	10	6	0.55	0.017	1.39	75.5	2	0.00909091	0.01818182	1.358447	0.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
35.81	140	1	0.265	0.2736	8	6	0.483	0.017	4.86	75.5	0	0.00714286	0	2.617596	0.25	NONE	RUSH	JEAN	JAZZ	NIGHT	NEW
29.28	180	0.1	0.33	1.2731	8	9	0.45	0.017	0.74	77	0	0.00555556	0	1.186294	4	DETAIL	RUSH	TERRY	POP	DAY	NEW
31.08	190	0.1	0.33	1.0228	13	12	0.467	0.017	0.91	76	0	0.00526316	0	1.231048	1	DETAIL	NONE	JEAN	ROCK	DAY	NEW
28.28	170	0.5	0.33	0.8259	5	6	0.267	0.017	0.77	62.5	0	0.00588235	0	0.890043	156.25	NONE	RUSH	RANDY	NONE	DAY	OLD
41.91	130	0.1	0.41	1.154	10	10	0.517	0.017	1.12	75	0	0.00769231	0	1.75168	0	DETAIL	NONE	JEAN	ROCK	DAY	NEW
45.52	110	0.1	0.395	0.8835	9	9	0.55	0.017	0.56	73	0	0.00909091	0	0.71596	4	DETAIL	RUSH	TERRY	POP	DAY	NEW
31.21	110	0.5	0.43	1.4877	10	11	0.583	0.033	0.95	81.5	0	0.00909091	0	1.821815	42.25	NONE	RUSH	RANDY	NONE	DAY	OLD
56.43	130	0.5	0.51	1.5147	13	10	0.617	0.033	1.21	56.5	0	0.00769231	0	2.449887	342.25	NONE	RUSH	RANDY	NONE	DAY	OLD
33.21	130	0.5	0.395	0.5763	8	5	0.433	0.017	0.88	68.5	1	0.00769231	0.00769231	0.854744	42.25	NONE	RUSH	RANDY	NONE	DAY	OLD
57.65	180	0.5	0.26	0.6918	12	13	0.367	0.017	4.42	75.5	0	0.00555556	0	4.206956	0.25	NONE	RUSH	JEAN	POP	NIGHT	NEW
34.39	190	0.5	0.55	1.5255	7	8	0.383	0.033	0.84	71.5	1	0.00526316	0.00526316	1.74342	12.25	NONE	RUSH	PAT	NONE	DAY	OLD
31.35	700	0.5	0.345	1.1579	8	10	0.267	0.033	0.93	76	4	0.00142857	0.00571429	1.397697	1	DETAIL	NONE	PAT	NONE	DAY	OLD
