id	Y	X	recipX
80	21	3.285	0.304414003
81	20	3.38	0.295857988
82	24	3.086	0.32404407
83	21	3.296	0.303398058
84	24	3.175	0.31496063
85	20	3.417	0.292654375
86	24	2.897	0.345184674
87	24	2.934	0.340831629
89	24	2.82	0.354609929
90	24	2.778	0.359971202
91	22	3.23	0.309597523
92	22	3.252	0.307503075
93	20	3.219	0.310655483
94	20	3.567	0.280347631
95	20	3.461	0.288933834
96	18	3.536	0.28280543
97	20	3.476	0.287686997
98	18	3.606	0.277315585
99	23	3.315	0.301659125
100	18	3.434	0.291205591
101	18	3.581	0.279251606
102	21	3.479	0.287438919
103	19	3.548	0.281848929
104	21	3.217	0.310848617
105	22	3.357	0.297885016
106	18	3.487	0.286779467
107	17	4.057	0.246487552
108	17	4.057	0.246487552
109	21	3.349	0.298596596
110	21	3.294	0.303582271
111	17	3.651	0.273897562
112	17	3.651	0.273897562
113	18	3.336	0.299760192
114	18	3.416	0.292740047
115	18	3.428	0.291715286
116	22	3.25	0.307692308
117	19	3.43	0.29154519
118	17	4.052	0.246791708
119	17	4.052	0.246791708
120	19	3.315	0.301659125
121	18	3.549	0.281769513
122	18	3.649	0.274047684
123	21	3.197	0.312793244
124	20	3.473	0.287935502
125	20	3.476	0.287686997
126	20	3.085	0.324149109
127	20	3.484	0.287026406
128	21	3.395	0.29455081
129	20	3.495	0.286123033
130	19	3.61	0.27700831
131	21	3.417	0.292654375
132	21	3.362	0.297441999
133	20	3.439	0.290782204
134	21	3.179	0.314564328
135	24	3.082	0.324464633
136	22	3.241	0.308546745
137	22	2.767	0.361402241
138	20	3.575	0.27972028
139	23	3.638	0.274876306
140	20	3.462	0.288850376
141	17	3.583	0.27909573
142	18	3.627	0.275709953
143	20	3.561	0.280819994
144	18	3.88	0.257731959
145	20	3.197	0.312793244
146	19	3.56	0.280898876
147	19	3.461	0.288933834
148	20	3.285	0.304414003
149	20	3.285	0.304414003
150	20	3.483	0.287108814
151	19	3.428	0.291715286
152	20	3.591	0.278473963
153	20	3.778	0.264690312
154	18	3.694	0.270709258
155	18	3.65	0.273972603
156	21	3.448	0.290023202
157	17	4.057	0.246487552
158	18	3.677	0.271960838
159	19	3.306	0.302480339
160	18	3.516	0.284414107
161	20	3.46	0.289017341
162	18	3.255	0.307219662
163	18	3.285	0.304414003
164	20	3.681	0.271665308
165	20	3.681	0.271665308
166	20	3.36	0.297619048
167	19	3.36	0.297619048
168	19	3.43	0.29154519
169	20	3.45	0.289855072
170	17	4.052	0.246791708
171	17	4.195	0.238379023
172	20	3.175	0.31496063
173	20	3.175	0.31496063
174	21	3.47	0.288184438
175	21	3.47	0.288184438
176	19	3.63	0.275482094
177	21	3.439	0.290782204
178	19	3.721	0.268744961
179	18	3.953	0.252972426
180	20	3.903	0.256213169
181	20	3.766	0.265533723
182	18	3.571	0.280033604
183	20	3.576	0.279642058
184	20	3.691	0.270929287
185	18	3.88	0.257731959
186	18	3.893	0.256871307
187	20	3.814	0.262191924
188	18	4.013	0.249190132
189	18	3.836	0.260688217
190	17	4.024	0.248508946
191	17	4.399	0.227324392
192	14	3.825	0.261437908
193	19	3.616	0.276548673
194	20	3.472	0.288018433
195	18	3.814	0.262191924
196	18	4.376	0.228519196
197	18	4.464	0.224014337
198	18	3.909	0.255819903
199	18	3.984	0.251004016
200	18	4.044	0.247279921
201	18	3.992	0.250501002
202	17	3.851	0.259672812
203	17	3.977	0.251445813
204	18	3.777	0.264760392
205	18	3.874	0.258131131
206	17	4.046	0.247157687
207	18	3.803	0.262950302
208	18	3.803	0.262950302
209	17	3.948	0.253292806
210	18	3.649	0.274047684
211	18	3.715	0.269179004
212	18	3.99	0.250626566
213	17	3.768	0.265392781
214	17	3.768	0.265392781
215	17	4.369	0.228885328
216	17	4.369	0.228885328
217	17	4.474	0.223513634
218	16	3.54	0.282485876
219	16	4.085	0.244798042
220	13	4.473	0.223563604
221	20	3.77	0.265251989
222	17	3.585	0.278940028
223	19	3.635	0.275103164
224	16	3.815	0.262123198
225	18	4.16	0.240384615
226	16	4.39	0.227790433
227	21	3.48	0.287356322
228	21	3.7	0.27027027
229	21	3.45	0.289855072
230	20	3.45	0.289855072
231	19	3.653	0.273747605
232	17	3.153	0.317158262
233	15	4.024	0.248508946
234	20	3.131	0.319386777
235	20	2.921	0.342348511
236	21	3.351	0.298418383
237	16	3.415	0.292825769
238	16	3.781	0.264480296
239	20	2.932	0.34106412
240	21	2.998	0.333555704
241	17	3.647	0.274197971
242	18	3.246	0.308071473
243	18	3.248	0.307881773
244	17	3.06	0.326797386
245	20	3.29	0.303951368
246	17	3.347	0.298775022
247	17	3.78	0.264550265
248	20	2.835	0.352733686
249	19	3.023	0.330797221
250	18	3.779	0.26462027
251	18	3.98	0.251256281
252	16	3.865	0.258732212
253	16	4.042	0.247402276
254	18	3.84	0.260416667
255	23	2.387	0.418935903
256	23	2.387	0.418935903
257	16	4.065	0.24600246
258	14	4.235	0.236127509
259	13	4.429	0.225784601
260	21	3.055	0.327332242
261	17	3.22	0.310559006
262	21	3.241	0.308546745
263	21	3.296	0.303398058
264	18	3.263	0.306466442
265	20	3.188	0.313676286
266	20	3.428	0.291715286
267	18	3.135	0.318979266
268	17	3.24	0.308641975
269	18	3.119	0.320615582
270	17	3.131	0.319386777
271	20	2.811	0.355745286
272	18	2.911	0.343524562
273	20	3.085	0.324149109
274	18	3.263	0.306466442
275	24	2.5	0.4
276	26	2.195	0.455580866
277	14	5.367	0.186323831
278	16	4.302	0.232450023
279	14	4.947	0.202142713
280	14	5.05	0.198019802
281	15	4.987	0.200521356
282	15	5	0.2
283	15	4.945	0.202224469
284	16	5.042	0.198333994
285	13	6.133	0.16305234
286	10	6.4	0.15625
287	15	4.967	0.20132877
288	13	5.969	0.16753225
289	13	5.013	0.199481348
290	14	5.27	0.189753321
291	17	4.451	0.224668614
292	16	4.023	0.248570718
293	16	4.824	0.207296849
294	15	4.6	0.217391304
295	19	4.024	0.248508946
296	16	4.425	0.225988701
297	15	4.463	0.224064531
298	17	4.387	0.227946205
299	17	3.836	0.260688217
300	16	3.79	0.263852243
301	16	4.112	0.243190661
302	12	5.379	0.185908161
303	15	4.74	0.210970464
304	13	5.59	0.178890877
305	18	4.065	0.24600246
306	13	4.834	0.206868018
307	13	5.423	0.184399779
308	14	4.874	0.205170291
309	16	4.374	0.228623685
310	17	4.134	0.241896468
311	15	4.718	0.211954218
312	16	3.871	0.258331181
313	19	3.779	0.26462027
314	14	4.95	0.202020202
315	21	3.381	0.295770482
316	18	3.682	0.271591526
317	18	4.035	0.247831475
318	18	3.935	0.254129606
319	13	5.39	0.185528757
320	15	5.086	0.196618168
321	15	4.638	0.215610177
322	19	2.866	0.348918353
323	18	3.346	0.298864316
324	21	3.258	0.306936771
325	21	3.468	0.288350634
326	20	3.549	0.281769513
327	20	3.826	0.261369577
328	16	3.575	0.27972028
329	12	4.576	0.218531469
330	18	3.577	0.27956388
331	22	3.091	0.323519896
332	21	3.24	0.308641975
333	17	3.76	0.265957447
334	19	3.02	0.331125828
335	22	3.119	0.320615582
336	18	4.035	0.247831475
337	15	3.936	0.254065041
338	19	3.594	0.278241514
339	22	3.458	0.2891845
340	17	4.675	0.213903743
341	26	2.702	0.370096225
342	19	3.497	0.285959394
343	16	4.056	0.246548323
344	15	4.309	0.232072407
345	26	2.447	0.40866367
346	18	3.41	0.293255132
347	19	3.47	0.288184438
348	19	3.966	0.252143217
349	16	4.23	0.236406619
350	19	3.488	0.286697248
351	20	3.801	0.263088661
352	29	2.701	0.370233247
353	19	3.62	0.276243094
354	24	3.109	0.321646832
355	31	2.425	0.412371134
356	21	3.09	0.323624595
357	21	3.43	0.29154519
358	24	2.932	0.34106412
359	29	2.679	0.37327361
360	24	3.034	0.329597891
361	22	3.338	0.299580587
362	18	4.067	0.245881485
363	22	2.822	0.354358611
364	20	3.823	0.26157468
365	14	4.605	0.217155266
366	19	3.699	0.270343336
367	19	4.068	0.245821042
368	18	4.331	0.230893558
369	20	3.862	0.258933195
370	18	4.44	0.225225225
371	17	4.275	0.233918129
372	16	4.309	0.232072407
373	18	4.31	0.232018561
374	18	4.365	0.229095074
375	16	4.802	0.208246564
376	18	3.812	0.262329486
377	16	4.34	0.230414747
378	19	4.012	0.249252243
379	18	4.175	0.239520958
380	19	3.948	0.253292806
381	19	3.803	0.262950302
382	18	4.431	0.22568269
383	19	4.12	0.242718447
384	19	4.165	0.240096038
385	13	5.879	0.170096955
386	14	5.678	0.176118352
387	18	3.623	0.276014353
388	15	4.142	0.241429261
389	13	4.804	0.208159867
390	16	4.76	0.210084034
391	16	3.714	0.269251481
392	16	3.829	0.261164795
393	16	4.542	0.220167327
394	15	4.788	0.208855472
395	14	5.464	0.183016105
396	24	3.028	0.330250991
397	19	3.351	0.298418383
398	17	4.548	0.219876869
399	15	4.083	0.244917952
400	24	2.96	0.337837838
401	15	3.571	0.280033604
402	17	3.932	0.254323499
403	14	5.287	0.189143181
404	21	3.485	0.286944046
405	22	2.75	0.363636364
406	16	3.925	0.25477707
407	14	4.435	0.225479143
